receiver,datetime,year,transmitter
VR2Tx-485320,2021-11-17T14:21:00,2021,A69-9001-1111
VR2Tx-485320,2021-11-17T14:18:00,2021,A69-9001-1111
VR2Tx-485320,2021-11-17T14:20:00,2021,A69-9001-1111
VR2W-128440,2022-09-03T12:54:00,2022,A69-9001-1112
VR2W-128440,2022-09-03T12:50:00,2022,A69-9001-1112
VR2W-128440,2022-09-03T12:57:00,2022,A69-9001-1112
VR2W-128440,2022-09-03T12:46:00,2022,A69-9001-1112
VR2W-128440,2022-09-03T12:51:00,2022,A69-9001-1112
VR2W-128440,2022-09-03T12:49:00,2022,A69-9001-1112
VR2W-128440,2022-09-03T12:47:00,2022,A69-9001-1112
VR2W-128440,2022-09-03T12:52:00,2022,A69-9001-1112
VR2W-128440,2022-09-03T12:55:00,2022,A69-9001-1112
VR2W-128435,2020-08-15T04:45:00,2020,A69-9001-1113
VR2W-128435,2020-08-15T04:42:00,2020,A69-9001-1113
VR2W-128435,2020-08-15T04:46:00,2020,A69-9001-1113
VR2W-128446,2023-08-16T08:50:00,2023,A69-9001-1114
VR2Tx-485319,2021-11-06T22:50:00,2021,A69-9001-1114
VR2Tx-485321,2021-11-06T15:03:00,2021,A69-9001-1114
VR2W-112593,2023-08-16T08:01:00,2023,A69-9001-1114
VR2Tx-485322,2023-10-29T23:36:00,2023,A69-9001-1114
